"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1783","Search 'Admin' in navigation bar","Google Chrome","Mon Jul 28 15:30:59 GMT 2025","passed","Mon Jul 28 15:31:01 GMT 2025","Search test","search_tests.spec.ts","",""
"","4191","Login with correct credential","Google Chrome","Mon Jul 28 15:30:55 GMT 2025","passed","Mon Jul 28 15:30:59 GMT 2025","Login test","login_tests.spec.ts","",""
"","5020","Login with correct credential","Safari","Mon Jul 28 15:31:01 GMT 2025","passed","Mon Jul 28 15:31:06 GMT 2025","Login test","login_tests.spec.ts","",""
"","2991","Search 'Admin' in navigation bar","Safari","Mon Jul 28 15:31:06 GMT 2025","passed","Mon Jul 28 15:31:09 GMT 2025","Search test","search_tests.spec.ts","",""
