"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2234","Login with correct credential","Google Chrome","Wed Jun 04 15:46:45 GMT 2025","passed","Wed Jun 04 15:46:47 GMT 2025","Login test","login_tests.spec.ts","",""
"","2758","Search 'Admin' in navigation bar","Safari","Wed Jun 04 15:46:54 GMT 2025","passed","Wed Jun 04 15:46:57 GMT 2025","Search test","search_tests.spec.ts","",""
"","4471","Login with correct credential","Safari","Wed Jun 04 15:46:50 GMT 2025","passed","Wed Jun 04 15:46:54 GMT 2025","Login test","login_tests.spec.ts","",""
"","1798","Search 'Admin' in navigation bar","Google Chrome","Wed Jun 04 15:46:47 GMT 2025","passed","Wed Jun 04 15:46:49 GMT 2025","Search test","search_tests.spec.ts","",""
