"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3198","Search 'Admin' in navigation bar","Safari","Fri Jul 11 15:14:09 GMT 2025","passed","Fri Jul 11 15:14:12 GMT 2025","Search test","search_tests.spec.ts","",""
"","5293","Login with correct credential","Safari","Fri Jul 11 15:14:04 GMT 2025","passed","Fri Jul 11 15:14:09 GMT 2025","Login test","login_tests.spec.ts","",""
"","2072","Search 'Admin' in navigation bar","Google Chrome","Fri Jul 11 15:14:01 GMT 2025","passed","Fri Jul 11 15:14:03 GMT 2025","Search test","search_tests.spec.ts","",""
"","4622","Login with correct credential","Google Chrome","Fri Jul 11 15:13:57 GMT 2025","passed","Fri Jul 11 15:14:01 GMT 2025","Login test","login_tests.spec.ts","",""
