"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2726","Login with correct credential","Google Chrome","Tue Aug 12 15:14:26 GMT 2025","passed","Tue Aug 12 15:14:29 GMT 2025","Login test","login_tests.spec.ts","",""
"","3335","Search 'Admin' in navigation bar","Safari","Tue Aug 12 15:14:40 GMT 2025","passed","Tue Aug 12 15:14:43 GMT 2025","Search test","search_tests.spec.ts","",""
"","1998","Search 'Admin' in navigation bar","Google Chrome","Tue Aug 12 15:14:29 GMT 2025","passed","Tue Aug 12 15:14:31 GMT 2025","Search test","search_tests.spec.ts","",""
"","8101","Login with correct credential","Safari","Tue Aug 12 15:14:31 GMT 2025","passed","Tue Aug 12 15:14:40 GMT 2025","Login test","login_tests.spec.ts","",""
