"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9891","Login with correct credential","Google Chrome","Thu Jun 05 15:13:37 GMT 2025","passed","Thu Jun 05 15:13:47 GMT 2025","Login test","login_tests.spec.ts","",""
"","2882","Search 'Admin' in navigation bar","Safari","Thu Jun 05 15:14:02 GMT 2025","passed","Thu Jun 05 15:14:05 GMT 2025","Search test","search_tests.spec.ts","",""
"","1871","Search 'Admin' in navigation bar","Google Chrome","Thu Jun 05 15:13:47 GMT 2025","passed","Thu Jun 05 15:13:49 GMT 2025","Search test","search_tests.spec.ts","",""
"","11679","Login with correct credential","Safari","Thu Jun 05 15:13:50 GMT 2025","passed","Thu Jun 05 15:14:02 GMT 2025","Login test","login_tests.spec.ts","",""
