"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2135","Login with correct credential","Google Chrome","Sun Aug 24 15:11:37 UTC 2025","passed","Sun Aug 24 15:11:39 UTC 2025","Login test","login_tests.spec.ts","",""
"","7602","Login with correct credential","Safari","Sun Aug 24 15:11:41 UTC 2025","passed","Sun Aug 24 15:11:49 UTC 2025","Login test","login_tests.spec.ts","",""
"","1731","Search 'Admin' in navigation bar","Google Chrome","Sun Aug 24 15:11:39 UTC 2025","passed","Sun Aug 24 15:11:41 UTC 2025","Search test","search_tests.spec.ts","",""
"","2757","Search 'Admin' in navigation bar","Safari","Sun Aug 24 15:11:49 UTC 2025","passed","Sun Aug 24 15:11:52 UTC 2025","Search test","search_tests.spec.ts","",""
