"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5145","Search 'Admin' in navigation bar","Safari","Wed Sep 10 15:14:10 UTC 2025","passed","Wed Sep 10 15:14:15 UTC 2025","Search test","search_tests.spec.ts","",""
"","7640","Login with correct credential","Safari","Wed Sep 10 15:14:02 UTC 2025","passed","Wed Sep 10 15:14:10 UTC 2025","Login test","login_tests.spec.ts","",""
"","3055","Search 'Admin' in navigation bar","Google Chrome","Wed Sep 10 15:13:59 UTC 2025","passed","Wed Sep 10 15:14:02 UTC 2025","Search test","search_tests.spec.ts","",""
"","3011","Login with correct credential","Google Chrome","Wed Sep 10 15:13:56 UTC 2025","passed","Wed Sep 10 15:13:59 UTC 2025","Login test","login_tests.spec.ts","",""
