"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5731","Login with correct credential","Safari","Fri Sep 05 15:24:20 UTC 2025","passed","Fri Sep 05 15:24:26 UTC 2025","Login test","login_tests.spec.ts","",""
"","2293","Search 'Admin' in navigation bar","Google Chrome","Fri Sep 05 15:24:17 UTC 2025","passed","Fri Sep 05 15:24:20 UTC 2025","Search test","search_tests.spec.ts","",""
"","3861","Search 'Admin' in navigation bar","Safari","Fri Sep 05 15:24:26 UTC 2025","passed","Fri Sep 05 15:24:30 UTC 2025","Search test","search_tests.spec.ts","",""
"","2799","Login with correct credential","Google Chrome","Fri Sep 05 15:24:15 UTC 2025","passed","Fri Sep 05 15:24:17 UTC 2025","Login test","login_tests.spec.ts","",""
