"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4772","Login with correct credential","Safari","Thu May 08 15:28:04 GMT 2025","passed","Thu May 08 15:28:09 GMT 2025","Login test","login_tests.spec.ts","",""
"","1814","Search 'Admin' in navigation bar","Google Chrome","Thu May 08 15:28:02 GMT 2025","passed","Thu May 08 15:28:04 GMT 2025","Search test","search_tests.spec.ts","",""
"","3107","Search 'Admin' in navigation bar","Safari","Thu May 08 15:28:09 GMT 2025","passed","Thu May 08 15:28:12 GMT 2025","Search test","search_tests.spec.ts","",""
"","3785","Login with correct credential","Google Chrome","Thu May 08 15:27:58 GMT 2025","passed","Thu May 08 15:28:02 GMT 2025","Login test","login_tests.spec.ts","",""
