"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7261","Login with correct credential","Google Chrome","Tue May 06 09:18:56 GMT 2025","passed","Tue May 06 09:19:03 GMT 2025","Login test","login_tests.spec.ts","",""
"","7701","Login with correct credential","Safari","Tue May 06 09:19:06 GMT 2025","passed","Tue May 06 09:19:14 GMT 2025","Login test","login_tests.spec.ts","",""
"","3583","Search 'Admin' in navigation bar","Safari","Tue May 06 09:19:14 GMT 2025","passed","Tue May 06 09:19:17 GMT 2025","Search test","search_tests.spec.ts","",""
"","2320","Search 'Admin' in navigation bar","Google Chrome","Tue May 06 09:19:03 GMT 2025","passed","Tue May 06 09:19:05 GMT 2025","Search test","search_tests.spec.ts","",""
