"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2117","Search 'Admin' in navigation bar","Google Chrome","Sat May 31 15:11:21 GMT 2025","passed","Sat May 31 15:11:23 GMT 2025","Search test","search_tests.spec.ts","",""
"","3225","Search 'Admin' in navigation bar","Safari","Sat May 31 15:11:30 GMT 2025","passed","Sat May 31 15:11:33 GMT 2025","Search test","search_tests.spec.ts","",""
"","2609","Login with correct credential","Google Chrome","Sat May 31 15:11:18 GMT 2025","passed","Sat May 31 15:11:21 GMT 2025","Login test","login_tests.spec.ts","",""
"","6573","Login with correct credential","Safari","Sat May 31 15:11:23 GMT 2025","passed","Sat May 31 15:11:30 GMT 2025","Login test","login_tests.spec.ts","",""
