"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2328","Login with correct credential","Google Chrome","Wed Jun 18 15:14:07 GMT 2025","passed","Wed Jun 18 15:14:09 GMT 2025","Login test","login_tests.spec.ts","",""
"","1849","Search 'Admin' in navigation bar","Google Chrome","Wed Jun 18 15:14:09 GMT 2025","passed","Wed Jun 18 15:14:11 GMT 2025","Search test","search_tests.spec.ts","",""
"","7589","Login with correct credential","Safari","Wed Jun 18 15:14:11 GMT 2025","passed","Wed Jun 18 15:14:19 GMT 2025","Login test","login_tests.spec.ts","",""
"","2608","Search 'Admin' in navigation bar","Safari","Wed Jun 18 15:14:19 GMT 2025","passed","Wed Jun 18 15:14:22 GMT 2025","Search test","search_tests.spec.ts","",""
