"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3651","Search 'Admin' in navigation bar","Safari","Mon Jul 21 15:16:06 GMT 2025","passed","Mon Jul 21 15:16:09 GMT 2025","Search test","search_tests.spec.ts","",""
"","3169","Login with correct credential","Google Chrome","Mon Jul 21 15:15:53 GMT 2025","passed","Mon Jul 21 15:15:56 GMT 2025","Login test","login_tests.spec.ts","",""
"","2587","Search 'Admin' in navigation bar","Google Chrome","Mon Jul 21 15:15:56 GMT 2025","passed","Mon Jul 21 15:15:58 GMT 2025","Search test","search_tests.spec.ts","",""
"","6657","Login with correct credential","Safari","Mon Jul 21 15:15:59 GMT 2025","passed","Mon Jul 21 15:16:06 GMT 2025","Login test","login_tests.spec.ts","",""
