"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6713","Login with correct credential","Google Chrome","Thu Jun 05 15:28:48 GMT 2025","passed","Thu Jun 05 15:28:55 GMT 2025","Login test","login_tests.spec.ts","",""
"","7538","Login with correct credential","Safari","Thu Jun 05 15:28:58 GMT 2025","passed","Thu Jun 05 15:29:06 GMT 2025","Login test","login_tests.spec.ts","",""
"","4797","Search 'Admin' in navigation bar","Safari","Thu Jun 05 15:29:06 GMT 2025","passed","Thu Jun 05 15:29:11 GMT 2025","Search test","search_tests.spec.ts","",""
"","2774","Search 'Admin' in navigation bar","Google Chrome","Thu Jun 05 15:28:55 GMT 2025","passed","Thu Jun 05 15:28:58 GMT 2025","Search test","search_tests.spec.ts","",""
