"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2891","Search 'Admin' in navigation bar","Google Chrome","Fri Jun 20 15:13:24 GMT 2025","passed","Fri Jun 20 15:13:27 GMT 2025","Search test","search_tests.spec.ts","",""
"","3379","Login with correct credential","Google Chrome","Fri Jun 20 15:13:21 GMT 2025","passed","Fri Jun 20 15:13:24 GMT 2025","Login test","login_tests.spec.ts","",""
"","4569","Search 'Admin' in navigation bar","Safari","Fri Jun 20 15:13:33 GMT 2025","passed","Fri Jun 20 15:13:38 GMT 2025","Search test","search_tests.spec.ts","",""
"","5920","Login with correct credential","Safari","Fri Jun 20 15:13:27 GMT 2025","passed","Fri Jun 20 15:13:33 GMT 2025","Login test","login_tests.spec.ts","",""
