"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1791","Search 'Admin' in navigation bar","Google Chrome","Mon Sep 01 15:13:49 UTC 2025","passed","Mon Sep 01 15:13:51 UTC 2025","Search test","search_tests.spec.ts","",""
"","11438","Login with correct credential","Safari","Mon Sep 01 15:13:52 UTC 2025","passed","Mon Sep 01 15:14:03 UTC 2025","Login test","login_tests.spec.ts","",""
"","2444","Login with correct credential","Google Chrome","Mon Sep 01 15:13:47 UTC 2025","passed","Mon Sep 01 15:13:49 UTC 2025","Login test","login_tests.spec.ts","",""
"","2599","Search 'Admin' in navigation bar","Safari","Mon Sep 01 15:14:03 UTC 2025","passed","Mon Sep 01 15:14:06 UTC 2025","Search test","search_tests.spec.ts","",""
