"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1924","Search 'Admin' in navigation bar","Google Chrome","Sun Aug 03 15:14:20 GMT 2025","passed","Sun Aug 03 15:14:22 GMT 2025","Search test","search_tests.spec.ts","",""
"","2810","Search 'Admin' in navigation bar","Safari","Sun Aug 03 15:14:29 GMT 2025","passed","Sun Aug 03 15:14:32 GMT 2025","Search test","search_tests.spec.ts","",""
"","6200","Login with correct credential","Safari","Sun Aug 03 15:14:23 GMT 2025","passed","Sun Aug 03 15:14:29 GMT 2025","Login test","login_tests.spec.ts","",""
"","4466","Login with correct credential","Google Chrome","Sun Aug 03 15:14:16 GMT 2025","passed","Sun Aug 03 15:14:20 GMT 2025","Login test","login_tests.spec.ts","",""
