"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3388","Login with correct credential","Google Chrome","Mon Aug 11 15:15:30 GMT 2025","passed","Mon Aug 11 15:15:33 GMT 2025","Login test","login_tests.spec.ts","",""
"","8262","Login with correct credential","Safari","Mon Aug 11 15:15:37 GMT 2025","passed","Mon Aug 11 15:15:45 GMT 2025","Login test","login_tests.spec.ts","",""
"","3572","Search 'Admin' in navigation bar","Safari","Mon Aug 11 15:15:45 GMT 2025","passed","Mon Aug 11 15:15:49 GMT 2025","Search test","search_tests.spec.ts","",""
"","2959","Search 'Admin' in navigation bar","Google Chrome","Mon Aug 11 15:15:33 GMT 2025","passed","Mon Aug 11 15:15:36 GMT 2025","Search test","search_tests.spec.ts","",""
