"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93043","Login with correct credential","Google Chrome","Wed Jul 30 15:32:19 GMT 2025","passed","Wed Jul 30 15:33:52 GMT 2025","Login test","login_tests.spec.ts","",""
"","84058","Search 'Admin' in navigation bar","Google Chrome","Wed Jul 30 15:33:52 GMT 2025","passed","Wed Jul 30 15:35:16 GMT 2025","Search test","search_tests.spec.ts","",""
"","41801","Search 'Admin' in navigation bar","Safari","Wed Jul 30 15:36:14 GMT 2025","passed","Wed Jul 30 15:36:55 GMT 2025","Search test","search_tests.spec.ts","",""
"","56896","Login with correct credential","Safari","Wed Jul 30 15:35:17 GMT 2025","passed","Wed Jul 30 15:36:14 GMT 2025","Login test","login_tests.spec.ts","",""
