"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6802","Login with correct credential","Safari","Thu Jun 26 15:28:52 GMT 2025","passed","Thu Jun 26 15:28:59 GMT 2025","Login test","login_tests.spec.ts","",""
"","5042","Search 'Admin' in navigation bar","Safari","Thu Jun 26 15:28:59 GMT 2025","passed","Thu Jun 26 15:29:04 GMT 2025","Search test","search_tests.spec.ts","",""
"","3017","Search 'Admin' in navigation bar","Google Chrome","Thu Jun 26 15:28:49 GMT 2025","passed","Thu Jun 26 15:28:52 GMT 2025","Search test","search_tests.spec.ts","",""
"","6077","Login with correct credential","Google Chrome","Thu Jun 26 15:28:43 GMT 2025","passed","Thu Jun 26 15:28:49 GMT 2025","Login test","login_tests.spec.ts","",""
