"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2044","Search 'Admin' in navigation bar","Google Chrome","Fri Jul 11 15:29:05 GMT 2025","passed","Fri Jul 11 15:29:07 GMT 2025","Search test","search_tests.spec.ts","",""
"","5106","Login with correct credential","Safari","Fri Jul 11 15:29:08 GMT 2025","passed","Fri Jul 11 15:29:13 GMT 2025","Login test","login_tests.spec.ts","",""
"","2985","Search 'Admin' in navigation bar","Safari","Fri Jul 11 15:29:13 GMT 2025","passed","Fri Jul 11 15:29:16 GMT 2025","Search test","search_tests.spec.ts","",""
"","4590","Login with correct credential","Google Chrome","Fri Jul 11 15:29:01 GMT 2025","passed","Fri Jul 11 15:29:05 GMT 2025","Login test","login_tests.spec.ts","",""
