"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1833","Search 'Admin' in navigation bar","Google Chrome","Thu Jun 26 15:14:38 GMT 2025","passed","Thu Jun 26 15:14:39 GMT 2025","Search test","search_tests.spec.ts","",""
"","5454","Login with correct credential","Safari","Thu Jun 26 15:14:40 GMT 2025","passed","Thu Jun 26 15:14:45 GMT 2025","Login test","login_tests.spec.ts","",""
"","2607","Search 'Admin' in navigation bar","Safari","Thu Jun 26 15:14:45 GMT 2025","passed","Thu Jun 26 15:14:48 GMT 2025","Search test","search_tests.spec.ts","",""
"","4261","Login with correct credential","Google Chrome","Thu Jun 26 15:14:33 GMT 2025","passed","Thu Jun 26 15:14:38 GMT 2025","Login test","login_tests.spec.ts","",""
