"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1767","Search 'Admin' in navigation bar","Google Chrome","Mon Aug 25 15:14:48 UTC 2025","passed","Mon Aug 25 15:14:50 UTC 2025","Search test","search_tests.spec.ts","",""
"","8021","Login with correct credential","Safari","Mon Aug 25 15:14:50 UTC 2025","passed","Mon Aug 25 15:14:58 UTC 2025","Login test","login_tests.spec.ts","",""
"","2673","Search 'Admin' in navigation bar","Safari","Mon Aug 25 15:14:58 UTC 2025","passed","Mon Aug 25 15:15:01 UTC 2025","Search test","search_tests.spec.ts","",""
"","2028","Login with correct credential","Google Chrome","Mon Aug 25 15:14:46 UTC 2025","passed","Mon Aug 25 15:14:48 UTC 2025","Login test","login_tests.spec.ts","",""
