"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2662","Search 'Admin' in navigation bar","Safari","Sun Jul 20 15:27:36 GMT 2025","passed","Sun Jul 20 15:27:38 GMT 2025","Search test","search_tests.spec.ts","",""
"","1760","Search 'Admin' in navigation bar","Google Chrome","Sun Jul 20 15:27:20 GMT 2025","passed","Sun Jul 20 15:27:22 GMT 2025","Search test","search_tests.spec.ts","",""
"","3711","Login with correct credential","Google Chrome","Sun Jul 20 15:27:16 GMT 2025","passed","Sun Jul 20 15:27:20 GMT 2025","Login test","login_tests.spec.ts","",""
"","13195","Login with correct credential","Safari","Sun Jul 20 15:27:22 GMT 2025","passed","Sun Jul 20 15:27:36 GMT 2025","Login test","login_tests.spec.ts","",""
