"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4313","Login with correct credential","Safari","Sat Jun 07 15:23:50 GMT 2025","passed","Sat Jun 07 15:23:54 GMT 2025","Login test","login_tests.spec.ts","",""
"","2212","Login with correct credential","Google Chrome","Sat Jun 07 15:23:45 GMT 2025","passed","Sat Jun 07 15:23:48 GMT 2025","Login test","login_tests.spec.ts","",""
"","3059","Search 'Admin' in navigation bar","Safari","Sat Jun 07 15:23:54 GMT 2025","passed","Sat Jun 07 15:23:57 GMT 2025","Search test","search_tests.spec.ts","",""
"","1823","Search 'Admin' in navigation bar","Google Chrome","Sat Jun 07 15:23:48 GMT 2025","passed","Sat Jun 07 15:23:49 GMT 2025","Search test","search_tests.spec.ts","",""
